"number","name","englishName","nameUz","audio","playing","numberOfAyahs"
"90","سُورَةُ البَلَدِ","Al-Balad","Balad","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/90.mp3","false","20"
"91","سُورَةُ الشَّمۡسِ","Ash-Shams","Shams","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/91.mp3","false","15"
"92","سُورَةُ اللَّيۡلِ","Al-Lail","Layl","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/92.mp3","false","21"
"93","سُورَةُ الضُّحَىٰ","Ad-Dhuhaa","Zuho","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/93.mp3","false","11"
"94","سُورَةُ الشَّرۡحِ","Ash-Sharh","Sharh","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/94.mp3","false","8"
"95","سُورَةُ التِّينِ","At-Tin","Tiyn","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/95.mp3","false","8"
"96","سُورَةُ العَلَقِ","Al-Alaq","Alaq","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/96.mp3","false","19"
"97","سُورَةُ القَدۡرِ","Al-Qadr","Qadr","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/97.mp3","false","5"
"98","سُورَةُ البَيِّنَةِ","Al-Bayyina","Bayyina","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/98.mp3","false","8"
"99","سُورَةُ الزَّلۡزَلَةِ","Az-Zalzala","Zalzala","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/99.mp3","false","8"
"100","سُورَةُ العَادِيَاتِ","Al-Aadiyaat","Odiyat","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/100.mp3","false","11"
"101","سُورَةُ القَارِعَةِ","Al-Qaari'a","Qori'a","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/101.mp3","false","11"
"102","سُورَةُ التَّكَاثُرِ","At-Takaathur","Takosur","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/102.mp3","false","8"
"103","سُورَةُ العَصۡرِ","Al-Asr","Asr","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/103.mp3","false","3"
"104","سُورَةُ الهُمَزَةِ","Al-Humaza","Humaza","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/104.mp3","false","9"
"105","سُورَةُ الفِيلِ","Al-Fil","Fil","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/18.mp3","false","5"
"106","سُورَةُ قُرَيۡشٍ","Quraish","Quraysh","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/106.mp3","false","4"
"107","سُورَةُ المَاعُونِ","Al-Maa'un","Mo'un","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/107.mp3","false","7"
"108","سُورَةُ الكَوۡثَرِ","Al-Kawthar","Kavsar","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/108.mp3","false","3"
"109","سُورَةُ الكَافِرُونَ","Al-Kaafiroon","Kofirun","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/109.mp3","false","6"
"110","سُورَةُ النَّصۡرِ","An-Nasr","Nasr","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/110.mp3","false","3"
"111","سُورَةُ المَسَدِ","Al-Masad","Masad","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/111.mp3","false","5"
"112","سُورَةُ الإِخۡلَاصِ","Al-Ikhlaas","Ixlos","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/112.mp3","false","4"
"113","سُورَةُ الفَلَقِ","Al-Falaq","Falaq","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/113.mp3","false","5"
"114","سُورَةُ النَّاسِ","An-Naas","Nos","https://cdn.islamic.network/quran/audio-surah/128/ar.alafasy/114.mp3","false","6"
